NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
1,Brasil,38,Reais,3155,1,Brasil,201810,ago-set-out 2018,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3158,1,Brasil,201811,set-out-nov 2018,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3177,1,Brasil,201812,out-nov-dez 2018,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3196,1,Brasil,201901,nov-dez-jan 2019,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3207,1,Brasil,201902,dez-jan-fev 2019,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3194,1,Brasil,201903,jan-fev-mar 2019,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3178,1,Brasil,201904,fev-mar-abr 2019,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3155,1,Brasil,201905,mar-abr-mai 2019,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3156,1,Brasil,201906,abr-mai-jun 2019,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3149,1,Brasil,201907,mai-jun-jul 2019,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3162,1,Brasil,201908,jun-jul-ago 2019,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3161,1,Brasil,201909,jul-ago-set 2019,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3185,1,Brasil,201910,ago-set-out 2019,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3199,1,Brasil,201911,set-out-nov 2019,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3189,1,Brasil,201912,out-nov-dez 2019,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3196,1,Brasil,202001,nov-dez-jan 2020,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3199,1,Brasil,202002,dez-jan-fev 2020,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3226,1,Brasil,202003,jan-fev-mar 2020,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3261,1,Brasil,202004,fev-mar-abr 2020,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3315,1,Brasil,202005,mar-abr-mai 2020,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3366,1,Brasil,202006,abr-mai-jun 2020,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3406,1,Brasil,202007,mai-jun-jul 2020,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3401,1,Brasil,202008,jun-jul-ago 2020,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3404,1,Brasil,202009,jul-ago-set 2020,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3354,1,Brasil,202010,ago-set-out 2020,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3318,1,Brasil,202011,set-out-nov 2020,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3268,1,Brasil,202012,out-nov-dez 2020,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3261,1,Brasil,202101,nov-dez-jan 2021,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3231,1,Brasil,202102,dez-jan-fev 2021,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3241,1,Brasil,202103,jan-fev-mar 2021,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3202,1,Brasil,202104,fev-mar-abr 2021,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3200,1,Brasil,202105,mar-abr-mai 2021,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3151,1,Brasil,202106,abr-mai-jun 2021,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3123,1,Brasil,202107,mai-jun-jul 2021,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3079,1,Brasil,202108,jun-jul-ago 2021,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,3025,1,Brasil,202109,jul-ago-set 2021,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,2980,1,Brasil,202110,ago-set-out 2021,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,2941,1,Brasil,202111,set-out-nov 2021,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,2917,1,Brasil,202112,out-nov-dez 2021,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,2946,1,Brasil,202201,nov-dez-jan 2022,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,2949,1,Brasil,202202,dez-jan-fev 2022,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,2961,1,Brasil,202203,jan-fev-mar 2022,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,2949,1,Brasil,202204,fev-mar-abr 2022,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
1,Brasil,38,Reais,2969,1,Brasil,202205,mar-abr-mai 2022,5933,"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos"
