NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
1,Brasil,2,%,-2.72,1,Brasil,202306,junho 2023,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-0.76,1,Brasil,202307,julho 2023,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.75,1,Brasil,202308,agosto 2023,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,1.06,1,Brasil,202309,setembro 2023,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,1.07,1,Brasil,202310,outubro 2023,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-0.34,1,Brasil,202311,novembro 2023,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-0.20,1,Brasil,202312,dezembro 2023,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-0.24,1,Brasil,202401,janeiro 2024,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.14,1,Brasil,202402,fevereiro 2024,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.35,1,Brasil,202403,março 2024,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.67,1,Brasil,202404,abril 2024,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.36,1,Brasil,202405,maio 2024,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,1.26,1,Brasil,202406,junho 2024,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,1.53,1,Brasil,202407,julho 2024,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.66,1,Brasil,202408,agosto 2024,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.62,1,Brasil,202409,setembro 2024,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.97,1,Brasil,202410,outubro 2024,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,1.25,1,Brasil,202411,novembro 2024,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,1.35,1,Brasil,202412,dezembro 2024,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,0.15,1,Brasil,202501,janeiro 2025,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-0.12,1,Brasil,202502,fevereiro 2025,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
1,Brasil,2,%,-0.62,1,Brasil,202503,março 2025,1396,IPP - Variação mês/mês imediatamente anterior (M/M-1),46608,Indústria Geral
